problem_id,product,component,severity,summary,root_cause,resolution,category,recurrence_type,affected_version
PRB-FAC-001,Facets,Claims Adjudication Engine,P1,Claims batch processing fails with null pointer exception on Medicare supplemental claims,Missing null check in ClaimAdjudicator.processBatch() when supplemental_coverage_code is absent,Added null guard in processBatch() and fallback to default coverage code; patched in Facets 19.2.3,Batch Processing,Recurring,19.2.x
PRB-FAC-002,Facets,Eligibility Verification Service,P2,Member eligibility lookup times out for dual-eligible members with multiple plan records,Database query in EligibilityService.getMemberPlan() performs full table scan when member has >3 active plans,Added composite index on (member_id + plan_status + effective_date); query time reduced from 45s to 0.3s,Performance,First Occurrence,19.1.x
PRB-FAC-003,Facets,Provider Network Management,P2,Provider credentialing update fails silently when NPI registry is unreachable,ProviderCredentialJob swallows IOException without retry or alerting; NPI calls not idempotent,Implemented exponential backoff retry (3 attempts) and SNS alert on final failure; added dead-letter queue,Integration,Recurring,18.4.x - 19.2.x
PRB-FAC-004,Facets,Premium Billing Module,P1,Incorrect premium calculation for family plans when dependent ages cross billing cycle boundary,Age calculation in PremiumCalculator uses enrollment date instead of billing period start date,Fixed date reference in age_at_billing_date(); regression test suite expanded to cover age-boundary cases,Data Integrity,First Occurrence,19.2.1
PRB-FAC-005,Facets,Claims Adjudication Engine,P2,Duplicate claim detection incorrectly flags resubmitted corrected claims as duplicates,DuplicateClaimChecker compares claim_id without considering claim_type=CORRECTED flag,Added claim_type to duplicate detection logic; CORRECTED claims bypass exact-match check and use fuzzy date window,Business Logic,Recurring,18.x - 19.x
PRB-FAC-006,Facets,Member Enrollment,P1,HIPAA 834 enrollment file processing drops records when group_size exceeds 500 members,FileParser uses fixed-size buffer (500 records); overflow silently truncates remaining enrollees,Switched to streaming parser with dynamic buffer; added record-count reconciliation step post-load,Data Loss,Recurring,19.0.x - 19.2.x
PRB-FAC-007,Facets,Authorization Management,P2,Prior authorization approvals not reflected in real-time for emergency procedures,AuthCache TTL set to 4 hours; emergency PA updates not triggering cache invalidation event,Reduced AuthCache TTL to 15 minutes for emergency PA types; added cache-bust on PA status change event,Cache/Sync,First Occurrence,19.2.0
PRB-FAC-008,Facets,Reporting & Analytics,P3,Monthly HEDIS measure reports show inflated denominator counts for preventive care measures,HEDIS query joins on member_id without filtering by LOB; commercial and Medicaid members double-counted,Added LOB filter to all HEDIS denominator queries; added data quality check step before report generation,Reporting,Recurring,All versions
PRB-FAC-009,Facets,Financial Reconciliation Manager,P2,Daily reconciliation run mismatches capitation payments when plan_id contains special characters,SQL parameterization strips special chars from plan_id before comparison; causes phantom mismatches,Switched to prepared statement with explicit VARCHAR cast; mismatch rate dropped from 2.3% to 0%,Data Integrity,Recurring,19.1.x - 19.2.x
PRB-FAC-010,Facets,Financial Reconciliation Manager,P1,End-of-month FRM batch deadlocks when EDM encounters parallel capitation and encounter postings,FRM acquires table-level lock on fin_transactions; EDM posting job attempts row-level lock on same table simultaneously,Serialized FRM batch window to off-peak (2-3 AM); added deadlock retry with exponential backoff,Batch Processing,Recurring,19.2.x
PRB-QNXT-001,QNXT,Claims Processing Engine,P1,Overnight claims adjudication batch fails on ANSI X12 837P claims with missing rendering provider NPI,ClaimBatch.processANSI() throws NullReferenceException when loop 2310B is absent; no graceful fallback,Added null-safe provider lookup with fallback to billing NPI; added validation rule PRV-NULL-001,Batch Processing,Recurring,6.2.x - 6.4.x
PRB-QNXT-002,QNXT,Claims Processing Engine,P2,Duplicate claim detection fires on identical claims submitted across different billing cycles,DuplicateFilter uses service_date + billed_amount only; ignores billing_cycle_id in comparison key,Extended duplicate key to include billing_cycle_id; reduced false-positive rate from 8% to <0.2%,Business Logic,Recurring,6.1.x - 6.4.x
PRB-QNXT-003,QNXT,Eligibility & Benefits Engine,P2,COB (Coordination of Benefits) calculation produces incorrect patient liability when secondary payer order changes mid-year,COBCalculator caches payer_order at session start; mid-year COB changes not refreshed until cache TTL expires (24h),Cache TTL reduced to 1h for COB records; added real-time invalidation on payer_order change event,Cache/Sync,Recurring,6.3.x
PRB-QNXT-004,QNXT,Eligibility & Benefits Engine,P1,Mass eligibility termination job silently skips members when group enrollment exceeds 10000 records,Batch job uses fixed-size ArrayList(10000); overflow throws IndexOutOfRangeException caught and swallowed,Switched to streaming IEnumerable with chunked DB commits; added reconciliation count check post-job,Data Loss,First Occurrence,6.4.0
PRB-QNXT-005,QNXT,Provider & Network Management,P2,Provider panel update from CAQH ProView fails when provider has multiple practice locations,CAQH import maps only first address record; subsequent locations overwrite rather than append,Fixed import to merge location list; added deduplication by address_hash before persist,Integration,Recurring,6.2.x - 6.4.x
PRB-QNXT-006,QNXT,Referral & Authorization Module,P2,Urgent care authorizations remain in pending status after 72h timeout; downstream claims denied,AuthorizationTimeoutJob checks created_at instead of requested_at; urgent_care SLA clock starts at wrong timestamp,Fixed timestamp reference to use requested_at; added SLA escalation alert at 48h mark,Workflow,Recurring,6.3.x - 6.4.x
